FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4180612,24,2,3,1,1,2
4180613,29,2,3,2,2,2
4180671,24,1,3,2,2,1
4180705,22,1,2,4,1,3
4180724,16,1,2,3,2,2
4180725,19,2,3,4,4,1
4180733,19,2,3,3,3,5
4180809,19,2,,1,4,2
4180810,21,1,2,4,2,
4180955,29,2,3,5,5,2
4180956,22,2,3,5,5,1
4180957,25,2,3,5,3,5
4180958,26,2,2,5,5,
4180959,21,2,3,5,3,3
4180960,20,1,2,5,3,1
4181232,29,1,3,,,4
4181249,20,2,2,5,2,2
4181252,25,2,3,1,4,2
4181330,18,1,1,2,4,2
4181331,20,2,3,4,1,4
4181332,19,1,2,3,3,1
4181362,27,2,,5,4,5
4181364,20,1,3,5,1,2
4181367,19,1,3,4,5,4
4181459,20,2,2,5,3,1
4181638,27,2,2,4,2,5
4181656,21,1,3,1,4,2
4181657,26,1,2,5,1,3
4181658,26,1,,3,2,3
4181659,19,1,2,5,1,1
4181660,27,2,2,2,1,1
4181666,29,1,2,3,3,4
4181721,15,1,2,4,3,
4181744,20,2,2,3,4,1
4181790,20,2,3,1,5,5
4181839,18,2,3,5,1,1
4181874,26,2,2,4,4,2
4181895,21,2,2,5,2,3
4181919,16,1,,4,4,5
4181920,21,2,3,5,1,2
4181922,21,1,2,3,1,2
4181923,29,2,2,4,5,2
4181946,29,2,2,4,4,2
4181976,22,1,2,4,3,3
4181985,28,2,3,2,2,1
4181986,24,2,2,2,2,2
4182135,29,2,3,4,4,4
4182146,25,1,3,3,4,2
4182147,24,2,2,4,2,1
4182190,23,2,3,4,2,2
4182539,19,1,2,4,2,1
4182540,25,1,3,4,3,4
4182541,24,1,2,4,4,2
4182573,16,2,2,4,2,
4182574,23,2,2,2,2,2
4182588,20,2,1,4,2,5
4182594,18,2,2,4,2,5
4182629,20,1,2,4,2,2
4182650,24,2,3,4,5,1
4182655,20,1,3,5,2,2
4182696,24,1,2,3,3,4
4182814,29,2,2,4,3,1
4182834,22,2,2,2,,5
4182835,15,1,3,4,4,5
4182836,28,2,2,1,,3
4182838,16,2,2,4,2,3
4182860,20,2,,5,2,1
4182861,19,2,2,4,2,2
4182950,24,1,1,5,2,2
4182960,27,2,3,2,4,5
4182961,25,1,1,5,3,4
4182962,25,2,1,5,4,1
4182964,29,1,2,4,2,5
4182988,16,1,3,4,,5
4183029,26,1,3,4,3,4
4183053,22,2,,4,3,3
